intent,text
66q1," What is the procedure for determining non-agricultural assessment of lands in non-urban areas according to the Maharashtra Land Revenue Code, 1966?"
66q2, How does the Collector classify villages in non-urban areas into Class I and Class II based on the market values of lands?
66q3," What are the implications for areas of a village or group of villages that have been designated as ""urban areas"" under the Maharashtra Land Revenue Code (Amendment) Act, 2003?"
66q4, How does the Collector assess lands categorized as Class I and Class II in non-urban areas for their non-agricultural use?
66q5, How does the Collector partition urban areas into blocks for the purpose of non-agricultural assessment?
66q6, What is the maximum percentage of the full market value that non-agricultural assessment on lands in each block in an urban area should not exceed?
66q7," Who has the authority to determine the standard rate of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966?"
66q8, How is the full market value of land estimated for the purpose of determining non-agricultural assessment in urban areas?
66q9," What regulations govern the determination of the true market value of property for the purpose of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966?"
66q10," What changes have been made to the Maharashtra Land Revenue Code, 1966 regarding the assessment rates for lands in non-urban and urban areas?"
67q1, When did the first guaranteed period for the standard rate of non-agricultural assessment commence and expire?
67q2, Can the State Government extend the guaranteed period for the standard rate of non-agricultural assessment in urban areas?
67q3," What is the maximum limit for the rates of non-agricultural assessment for the guaranteed period commencing from August 1, 2001, in municipal corporation areas and the rest of the State?"
67q4," When will the standard rate of non-agricultural assessment be deemed due for revision if it was fixed or revised before August 1, 1979?"
67q5, How often should the standard rate of non-agricultural assessment be revised during a guaranteed period?
67q6, What are the provisions for revising the standard rate of non-agricultural assessment at the commencement of the next guaranteed period?
67q7, What sub-sections were substituted for the original sub-section (2) by Mah. 8 of 1979?
67q8, What proviso was inserted after the existing proviso by Mah. 23 of 1999?
67q9," When were the rates of non-agricultural assessment for the guaranteed period of five years commencing from August 1, 2001, specified?"
67q10, What sub-section was inserted by Mah. 9 of 2002?
68q1," What is the Maharashtra Land Revenue Code, 1966 about?"
68q2, How is the rate of assessment determined for lands used for non-agricultural purposes in urban areas?
68q3," What factors are taken into consideration when fixing the non-agricultural assessment rate for lands used for non-agricultural purposes other than residential building, industry, or commerce?"
68q4, How long does a land need to be used for a non-agricultural purpose for the non-agricultural assessment to be half of the fixed rate?
68q5," When does the non-agricultural assessment start being levied on land used for non-agricultural purposes according to the Maharashtra Land Revenue Code, 1966?"
68q6," What provision does the Maharashtra Land Revenue Code, 1966 have for co-operative societies and housing boards in terms of non-agricultural assessment?"
68q7," How is the standard rate of non-agricultural assessment fixed or revised according to the Maharashtra Land Revenue Code, 1966?"
68q8, What is the significance of publishing the standard rate of non-agricultural assessment in the Official Gazette and other prescribed manners before bringing them into force?
69q1," What types of lands are exempt from payment of non-agricultural assessment according to the Maharashtra Land Revenue Code, 1966?"
69q2, How can the State Government revoke the exemption of a land from non-agricultural assessment?
69q3, What are the conditions under which agricultural lands in non-urban areas can be exempt from non-agricultural assessment for personal residential purposes?
69q4, What actions can lead to a land that was previously exempt from non-agricultural assessment to become liable for payment?
69q5," How does the Maharashtra Land Revenue Code, 1966 address the determination and registration of non-agricultural assessment on lands that are wholly exempt from such assessment?"
69q6, How are non-agricultural assessments fixed on lands in force before the commencement of the Code treated under its provisions?
70q1," What is the Maharashtra Land Revenue Code, 1966 Chapter VIII about?"
70q2," Who has the authority to determine the limits of the sites of villages, towns, and cities under this Chapter?"
70q3," Under what circumstances is no land revenue levied on lands within the sites of villages, towns, or cities?"
70q4, How are claims to exemption from land revenue determined under this Chapter?
70q5," Which types of lands are exempt from the payment of land revenue according to Section 125 of the Maharashtra Land Revenue Code, 1966?"
70q6," What provisions apply if the State Government directs a survey of lands within the site of any village, town, or city under this Chapter?"
70q7," What is the process for conducting a survey of lands other than those used for agricultural purposes within the site of a village, town, or city under this Chapter?"
70q8, Are there any specific exemptions or regulations for towns or cities with a population of more than two thousand persons in relation to land surveys under this Chapter?
71q1," What is the Maharashtra Land Revenue Code, 1966 about?"
71q2," When is a survey fee charged to holders of building sites in villages, towns, or cities with a population of more than two thousand persons?"
71q3," How is the amount of survey fee payable regulated according to the Maharashtra Land Revenue Code, 1966?"
71q4, What is the process for granting a sanad to holders of building sites as specified in the code?
71q5, What are the conditions under which duplicate sanads may be granted to holders of building sites?
71q6, How are the results of survey operations recorded as per the code?
71q7, What is the provision for preparing a map of a village site as per the code?
71q8, What are the entitlements of holders of building sites after a survey under section 126 has been completed?
71q9, What is the process for obtaining a fresh sanad in case of alterations to a building site holding?
71q10, What is the procedure for obtaining a copy of a lost or destroyed sanad as per the code?
72q1," According to the Maharashtra Land Revenue Code, how are the boundaries of villages and survey numbers in villages fixed and demarcated?"
72q2, In which districts of Maharashtra are the boundaries of survey numbers fixed and demarcated by boundary marks as directed by the State Government?
72q3, How are disputes regarding village boundaries resolved according to the Code?
72q4, What is the procedure for fixing the boundary of a field or holding during a survey if it is disputed or if the holder is not present?
72q5, Who has the authority to decide disputes concerning village boundaries or survey numbers that have not been surveyed?
72q6, How can a party interested in demarcating the boundaries of a survey number or sub-division apply for demarcation according to the Code?
72q7, What rules can the State Government make regarding the demarcation of boundaries of survey numbers or sub-divisions?
72q8," How are demarcated survey numbers and sub-divisions treated for the purposes of sections 132, 135, 139, and 140 of the Maharashtra Land Revenue Code?"
73q1," What is the Maharashtra Land Revenue Code, 1966, and what does it govern?"
73q2, How can a person regularize or straighten out the boundaries of their fields or holdings in a village according to the code?
73q3," What is the process for applying for boundary revision under the Maharashtra Land Revenue Code, 1966?"
73q4, How does the Survey Officer determine compensation for persons who may suffer loss of land due to boundary revision?
73q5, What happens if there is a lack of mutual agreement on the amount of compensation to be paid or recovered by each person concerned?
73q6, What is the significance of the decision of the village committee or the committee nominated by the Survey Officer in determining compensation under the code?
73q7," How is the boundary deemed to be settled under section 138 of the Maharashtra Land Revenue Code, 1966?"
73q8, How does the code ensure that the revised boundaries are final and binding on all parties concerned?
73q9," What role does the Survey Officer play in the process of boundary revision under the Maharashtra Land Revenue Code, 1966?"
73q10, How does the code address the issue of boundary disputes and ensure fair compensation for all parties involved?
74q1, What is the Maharashtra Land Revenue Code of 1966 and what is its purpose?
74q2, What is the effect of the settlement of a boundary under the provisions of Chapter 138 of the Maharashtra Land Revenue Code?
74q3, What authority does the Collector have in case a landholder is wrongfully in possession of land after a boundary settlement?
74q4, What recourse does a person have if they are wrongfully evicted from land following a boundary settlement?
74q5," What role do Survey Officers have in specifying, constructing, and maintaining boundary marks and survey marks according to the Maharashtra Land Revenue Code?"
74q6," What are the requirements for the construction, layout, maintenance, and repair of boundary marks and survey marks as per the Code?"
74q7," How can landholders be required to construct, maintain, or repair boundary marks or survey marks on their land according to the Code?"
74q8, What is the process for appealing or revising an order of ejectment under the Maharashtra Land Revenue Code?
74q9," How does the Collector have the authority to redistribute land revenue based on the outcome of an appeal, revision, or civil suit?"
74q10, What is the significance of boundary marks and survey marks in the context of land ownership and revenue assessment under the Code?
75q1," According to the Maharashtra Land Revenue Code, 1966, who is responsible for the maintenance and repair of boundary marks and survey marks of a landholding?"
75q2, What is the duty of Village Officers and servants in relation to the destruction or unauthorized alteration of village boundary marks or survey marks?
75q3," When a survey is introduced into a district, who is responsible for the maintenance and repair of boundary marks and survey marks?"
75q4, What are the obligations of a landholder adjoining a village road in terms of demarcating and maintaining boundary marks?
75q5, What action can the Collector take if a landholder fails to demarcate boundaries or repair boundary marks as required?
75q6," How is the term ""village road"" defined for the purposes of demarcation and maintenance of boundary marks in the Maharashtra Land Revenue Code?"
75q7, What authority does the Tahsildar have in deciding claims regarding a right of way over boundaries of survey numbers?
75q8, What factors does the Tahsildar consider when deciding claims for a right of way over boundaries in accordance with the Code?
75q9, What recourse does a person have if they are aggrieved by a decision of the Tahsildar under the provisions of the Code?
75q10, In what circumstances is a decision of the Tahsildar regarding a right of way over boundaries not subject to appeal or revision?
76q1, What is the duty of the Collector in relation to demarcation of boundaries in areas under town planning schemes or improvement schemes?
76q2," What is the penalty for wilfully erasing, removing, or injuring a boundary mark or survey mark?"
76q3," How can the State Government exempt certain villages or classes of villages from the provisions of Chapter X of the Maharashtra Land Revenue Code, 1966?"
76q4, What particulars are included in a record of rights maintained in every village?
76q5," How should a person report their acquisition of rights as a holder, occupant, owner, mortgagee, landlord, Government lessee, or tenant of land to the Talathi?"
77q1," What is the Maharashtra Land Revenue Code, 1966 about?"
77q2, Who is responsible for reporting mutations to the Talathi according to the Code?
77q3, Under what circumstances is a person exempt from reporting a right acquired to the Talathi?
77q4, What rights are included in the definition mentioned in Explanation I of the Code?
77q5, What is the role of the Talathi in registering mutations and disputed cases?
77q6, How are objections to entries in the register of mutations handled by the Talathi?
77q7, Who is responsible for disposing of disputes entered in the register of disputed cases?
77q8, How are entries from the register of mutations transferred to the record of rights according to the Code?
77q9, What is the process for transferring entries from the register of mutations to the record of rights?
77q10," What is the significance of the Talathi in the implementation of the Maharashtra Land Revenue Code, 1966?"
78q1, What is the Maharashtra Land Revenue Code of 1966 about?
78q2, Who is responsible for certifying entries in the register of mutations?
78q3," What is the obligation of a person whose rights, interests, or liabilities are required to be entered in a record or register?"
78q4, How can a holder of agricultural land obtain a booklet containing a copy of the record of rights pertaining to their land?
78q5, What information is included in the booklet provided to holders of agricultural land?
78q6," Who can specify the storage device for preparation, maintenance, and updation of all registers and documents under section 148A?"
78q7, What is the procedure for maintaining a register of tenancies as directed by the State Government?
78q8, How are entries in the register of mutations certified?
78q9, What is the role of a Revenue Officer or Talathi in the compilation or revision of records or registers?
78q10," What fees may be charged for preparing, issuing, and maintaining the booklet containing a copy of the record of rights for agricultural land holders?"
79q1, What is the Maharashtra Land Revenue Code of 1966?
79q2, What is the fine for neglecting to provide information or documents as required by the Code?
79q3, How is the information related to the record of rights presumed to be under the Code?
79q4, What powers can a Revenue Officer or Talathi exercise for preparing or revising maps or plans under the Code?
79q5, How are costs for the preparation or revision of maps or plans assessed and recoverable under the Code?
79q6, What is the requirement for notifying the Talathi and Tahsildar when a document related to land is registered under the Indian Registration Act?
79q7, Who has the authority to correct clerical errors and errors in the record of rights or registers maintained under the Code?
79q8, What additional land records are required to be prepared for each village under the Code?
80q1," According to the Maharashtra Land Revenue Code, 1966, what is the presumption regarding entries in the record of rights and register of mutations?"
80q2, Can a suit be filed against the State Government or any officer of the State Government in relation to claims about entries in records or registers maintained under this Chapter?
80q3," What happens to the existing record of rights in force in an area until the record of rights of that area is prepared in accordance with the provisions of the Maharashtra Land Revenue Code, 1966?"
80q4," What areas in the State are covered by the provisions of sections 161 to 167 of the Maharashtra Land Revenue Code, 1966?"
80q5," What is a Nistar Patrak and what matters are required to be provided in it according to the Maharashtra Land Revenue Code, 1966?"
